# Expression Atlas version: 0.1.4-SNAPSHOT
# Query: Genes matching: '' exactly, specifically expressed in any Developmental stage above the expression level cutoff: -0.1 in experiment E-MTAB-2812, filtered by Sex: hermaphrodite and Organism part: organism
# Timestamp: Tue, 28-Apr-2015 03:38:09
Gene ID	Gene Name	3-fold embryo Ce	4-cell embryo Ce	L1 larva Ce	L2 larva Ce	L2d-dauer molt Ce	L3 larva Ce	L4 larva Ce	adult Ce	dauer larva Ce	elongating embryo Ce	enclosing embryo Ce	fully-elongated embryo Ce	gastrulating embryo Ce	late cleavage stage embryo Ce	newly molted young adult hermaphrodite Ce	post dauer stage Ce	proliferating embryo Ce
WBGene00005854	srw-107	0	0	0	0	0.3	0	0	0	0.4	0	0	0.1	0	0	0	0	0
WBGene00005855	srw-108	0	0	0	0	0.6	0	0	0	0.3	0	0.2	0	0	0	0	0.3	0
WBGene00005856	srw-109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005857	srw-110	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0.1	0	0	0
WBGene00005858	srw-111	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0
WBGene00005859	srw-112	0	0	0	0	0.2	0	0	0	0.7	0	0.1	0	0	0	0	0.5	0
WBGene00005860	srw-113	0	0	0.1	0.2	0.4	0	0	0	0.5	0	0.1	0.2	0	0	0	0.5	0
WBGene00005861	srw-114	0	0	0	0	0.7	0	0	0	0.7	0	0	0	0	0	0	0.4	0
WBGene00005862	srw-115	0	0	0	0	0.7	0	0	0	0.8	0	0	0.1	0.3	0	0	0.3	0.1
WBGene00005863	srw-116	0	0.2	0.6	0	1	0.1	0	0	2	0	0	0	0.2	0	0	0.7	0
WBGene00005864	srw-117	0	0	0	0	0.1	0	0	0	0.4	0	0.1	0	0	0	0	0.3	0
WBGene00005865	srw-118	0	0	0	0	0.4	0	0	0	0.7	0	0	0	0	0	0	0.5	0
WBGene00005866	srw-119	0	0	0	0	0.1	0	0	0	1	0	0.1	0	0	0	0	0.6	0
WBGene00005867	srw-120	0	0	0.1	0	0.6	0	0	0	1	0	0	0.1	0	0	0	0.8	0
WBGene00005868	srw-121	0	0	0.1	0	1	0	0	0	1	0	0.1	0	0	0	0	0.8	0
WBGene00005869	srw-122	0	0	0	0	0.4	0	0	0	0.9	0	0.1	0	0	0	0	0.5	0
WBGene00005870	srw-123	0	0	0	0	0.8	0	0	0	0.9	0	0.1	0	0	0	0	0.5	0
WBGene00005871	srw-124	0	0	0	0	1	0	0	0	2	0	0.1	0	0	0	0	1	0
WBGene00005872	srw-125	0	0	0	0	0.1	0	0	0	0.2	0	0.2	0.1	0	0	0	0.2	0
WBGene00005873	srw-126	0	0	0	0	0.4	0	0	0	1	0	0	0	0	0	0	0.7	0
WBGene00005874	srw-127	0	0	0	0	0.1	0	0	0	0.1	0	0.1	0	0	0	0	0	0
WBGene00005875	srw-128	0	0	0	0	0.6	0	0	0	1	0	0.1	0	0	0	0	0.6	0
WBGene00005876	srw-129	0	0	0	0	0.4	0.1	0	0	1	0	0	0	0	0.1	0	0.9	0
WBGene00005877	srw-130	0	0	0	0	0.2	0.1	0.3	0	0.8	0	0	0	0	0	0	0.3	0
WBGene00005878	srw-131	0.1	0	0.1	0.2	0.1	0	0	0	0.1	0	0.1	0.2	0	0	0	0.3	0
WBGene00005879	srw-132	0	0	0	0	0.1	0	0.1	0	2	0	0	0	0	0	0	0.4	0
WBGene00005880	srw-133	0	0	0	0	0.4	0	0	0	0.8	0	0	0.1	0	0	0	0.3	0
WBGene00005881	srw-134	0	0	0	0	0.7	0	0	0	0.8	0	0.1	0	0	0	0	0.6	0
WBGene00005882	srw-135	0	0	0	0	0	0	0	0	0.3	0	0	0.3	3	0	0	0	3
WBGene00005883	srw-136	0	0	0	0	0	0	0	0	0.3	0	0.1	0	0	0	0	0.1	0
WBGene00005884	srw-137	0	0.3	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0.1	0
WBGene00005885	srw-138	0	0	0	0	0	0	0	0	0.5	0	0.2	0	0	0	0	0.2	0
WBGene00005886	srw-139	0	0	0.2	0.1	0.2	0	0	0	0.9	0	0.1	0	0.1	0	0	0.4	0
WBGene00005887	srw-140	0	0	0	0.2	1	0	0.1	0	3	0	0.5	0	0	0.1	0	0.7	0
WBGene00005888	srw-141	0	0	0.1	0	0.3	0	0	0	1	0	0.2	0	0	0	0	0.7	0
WBGene00005889	srw-142	0	0	0	0	0.6	0	0	0	0.8	0	0.1	0	0	0	0	0.4	0
WBGene00005890	srw-143	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0
WBGene00005891	srw-144	0	0	0	0	0.7	0	0	0	0.9	0	0.5	0.2	0	0.1	0	0.6	0
WBGene00005892	srx-1	0	0	1	0.1	0.6	0.1	0	0	0.5	0	0.1	0.5	0	0	0	1	0
WBGene00005893	srx-2	0	0	4	2	2	0.6	0.6	0	2	0	0.1	0.7	0	0	0.5	1	0.2
WBGene00005894	srx-3	0	0	0.1	0	1	0	0	0	1	0	0	0.2	0	0	0	0.8	0
WBGene00005895	srx-4	0	0	0.5	0	1	0	0	0	1	0	0	0.2	0.1	0	0	0.5	0
WBGene00005896	srx-5	0	0	0	0	0.1	0	0	0	0.6	0	0.2	0.1	0.9	0	0	0.2	0.1
WBGene00005897	srx-6	0	0	0.1	0	0.1	0	0	0	0.3	0	0.3	0	0.1	0	0	0.1	0
WBGene00005898	srx-7	0.8	0	0	0	0.2	0	0	0.1	0.4	0.1	0	0.8	2	0.5	0	0.1	2
WBGene00005899	srx-8	0	0	0	0	0.4	0.1	0.1	0	2	0	0.1	0	0	0	0.1	0.8	0
WBGene00005900	srx-9	0	0	0.1	0	1	0.1	0.3	0	1	0	0.1	0.2	0	0	0	0.9	0
WBGene00005901	srx-10	0	0	0	0	0.2	0	0.2	0	0.2	0	0.2	0.3	0	0	0	0.2	0
WBGene00005902	srx-11	0	0	2	0.1	0	0	0	0	0.5	0	0.2	0	0	0.1	0	0.2	0.1
WBGene00005903	srx-12	0	0	0.3	0.7	0	0.1	0.3	0	0.1	0	0.1	0.4	0.6	0	0.2	0.1	0.4
WBGene00005904	srx-13	0	0	1	0	0.2	0.7	0.1	0.1	0.4	0	0.1	0.3	0	0.3	0.3	0.3	0
WBGene00005905	srx-14	0	0	0.2	0.1	0	0	0	0	0	0	0	0.4	0	0	0	0.2	0
WBGene00005906	srx-15	0	0	2	0.6	2	0.4	0.5	0.2	1	0.1	0.7	0.4	1	0.6	0.3	1	0.2
WBGene00005907	srx-16	0	0	0	0	0.4	0	0	0	1	0	0	0	0	0	0	0.2	0
WBGene00005908	srx-17	0	0	0	0	1	0	0	0	1	0	0.1	0	0	0	0	0.8	0
WBGene00005909	srx-18	0	0	0.5	0.1	0.4	0.1	0.7	0	0.6	0	0.1	1	0	0	0	0.4	0
WBGene00005910	srx-19	0	0	4	0.5	0.3	0.2	0.2	0.1	0.3	0	0	0	0	0.1	0.3	0.3	0
WBGene00005911	srx-20	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00005912	srx-21	0	0	0	0	0.4	0.1	0.1	0	0.8	0	0.1	0.2	0	0	0.3	0.3	0
WBGene00005913	srx-22	0	0	0.1	0.2	0	0	0	0	0.3	0	0.1	0	0	0	0	0.1	0
WBGene00005914	srx-23	0	0	0.5	0	0	0	0	0	0.2	0	0.5	0	0	0	0	0	0
WBGene00005915	srx-24	0	0	0	0.1	0.7	0	0	0	2	0	0	0	0	0	0	0.3	0
WBGene00005916	srx-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005917	srx-26	0	0	0	0	0.1	0	0	0	0.3	0	0.2	0	0	0	0	0	0
WBGene00005918	srx-27	0	0	0	0	0.3	0	0	0	0.9	0	0	0	0	0.1	0	0	0
WBGene00005919	srx-28	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
WBGene00005920	srx-29	0	0	0	0	0.3	0	0	0	0.4	0	0.1	0	0	0	0	0.2	0
WBGene00005921	srx-30	0	0	0.1	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0.1	0
WBGene00005922	srx-31	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
WBGene00005923	srx-32	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
WBGene00005924	srx-33	0	0	0	0	0.6	0	0	0	1	0	0	0.1	0	0	0	0.5	0
WBGene00005925	srx-34	0	0	0.1	0.6	0.9	0.3	0.1	0	2	0	0.1	0.1	0	0.1	0	0.8	0
WBGene00005926	srx-35	0.3	0	0.3	0	0.3	0	0	0	0.6	0.1	0.5	0.1	0	0.2	0	0.5	0
WBGene00005927	srx-36	0.4	0	0	0	0.1	0.5	0.3	0	1	0.1	0	0.2	0	0.5	0	0.2	0
WBGene00005928	srx-37	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0.1	0
WBGene00005929	srx-38	0	0	3	1	0	0.3	0.1	0	0.3	0	0	0.5	0	0	0.1	0.5	0
WBGene00005930	srx-39	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
WBGene00005931	fbxa-199	2	0	7	0.9	0.6	0.6	0.4	0.2	0.3	3	0.4	2	0.7	3	0.1	0.4	0.6
WBGene00005932	srx-41	0.3	0	2	0.4	1	0.2	0.6	0.1	1	0.4	0.6	0.4	0	0.3	0	1	0
WBGene00005933	srx-42	0	0	0	0.1	0	0	0	0	0	0	0	0.2	0	0	0	0	0
WBGene00005934	srx-43	0	0	1	0.2	0.5	0	0	0	0.4	0	0	0.6	0	0	0	0.3	0
WBGene00005935	srx-44	0	0	0.2	0	0.1	0.5	0.1	0	0.1	0	0.1	0.3	0.2	0.1	0	0.1	0
WBGene00005936	srx-45	6	0	12	4	2	2	2	0.1	1	1	0	6	0.1	0.6	0.8	1	0.7
WBGene00005937	srx-46	0	0	0.7	0.3	2	0.2	0.2	0	4	0	0	0.3	0	0.3	0	2	0
WBGene00005938	srx-47	0.2	0.1	0.5	0	0.9	0	0	0	1	0.2	0.9	0.8	2	0.4	0.2	0.7	0.5
WBGene00005939	srx-48	0	0	0.3	0	0	0	0	0	0.1	0	0.2	0	0	0	0	0.1	0
WBGene00005940	srx-49	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.1	0	0	0
WBGene00005941	srx-50	0	0	0.1	0	4	0	0	0	4	0	0.1	0.2	0	0	0	2	0.1
WBGene00005942	srx-51	0	0	0.1	0	0.6	0	0.2	0	2	0	0.3	0	0	0	0.2	0.5	0
WBGene00005943	srx-52	0	0	0	0	0.1	0	0.1	0	0.3	0	0	0	0	0	0	0	0
WBGene00005944	srx-53	0	0	0	0	0.5	0	0	0	0.6	0	0	0	0	0	0	0.1	0
WBGene00005945	srx-54	0	0	0.1	0	0.9	0	0	0	0.9	0	0.1	0	0	0	0	0.2	0
WBGene00005946	srx-55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005947	srx-56	0	0	2	0.6	4	0.4	0.2	0	8	0	0.1	0.4	0	0	0.2	4	0
WBGene00005948	srx-57	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00005949	srx-58	0	0	0	2	0.3	4	2	0.1	0.4	0	0.2	0.8	0	0	1	0.3	0
WBGene00005950	srx-59	0	0	0	0	1	0	0	0	1	0	0.1	0.1	0	0.1	0	0.6	0
WBGene00005951	srx-60	0	0	0	0	0.3	0	0	0	0.5	0	0.1	0	0	0	0	0.3	0
WBGene00005952	srx-61	0	0	0	0	1	0	0	0	2	0	0.1	0	0	0	0	1	0
WBGene00005953	srx-62	0	0	0.2	0	0	0	0.1	0	0.2	0	0	0	0	0	0.3	0.2	0
WBGene00005954	srx-63	0	0	0	0	0.1	0	0	0	0.3	0	0.1	0	0	0	0	0	0
WBGene00005955	srx-64	0	0	0	0	0.7	0.1	0	0	0.8	0	0.1	0	0	0	0	0.6	0
WBGene00005956	srx-65	0	0	0	0	0.1	0	0	0	0.2	0	0.2	0	0	0	0	0.1	0
WBGene00005957	srx-66	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0.5	0
WBGene00005958	srx-67	0	0	4	0	1	0	0	0	2	0	0.1	0	0	0	0	0.3	0
WBGene00005959	srx-68	0	0.2	2	0.7	6	0.6	0.5	0.1	6	0	0.1	0.1	1	0	0.2	3	0.9
WBGene00005960	srx-69	0	0	0	0	0	0.1	0	0	0.2	0	0.1	0	0	0	0	0	0
WBGene00005961	srx-70	0	0	0	0	0.2	0	0	0	0	0	0	0.2	0	0.1	0.4	0	0
WBGene00005962	srx-71	0	0	0.2	0.8	0.1	0	0.1	0	0	0	0.2	0.6	0.1	0.1	0	0	0
WBGene00005963	srx-72	0	0	0.1	0	0	0.2	0.3	0	0.1	0	0.1	0.6	0	0	0.4	0	0
WBGene00005964	srx-73	0	0	0.6	0.9	0.1	0	0.1	0	0.1	0	0	0.1	0	0	0.1	0.1	0
WBGene00005965	srx-74	2	0.4	0.1	0.1	0	0	0	0.1	0	1	0.1	0.9	1	0.8	0	0.4	0.7
WBGene00005966	srx-75	0	0	0	0	0.2	0	0	0	0.4	0	0.1	0	0	0	0	0.5	0
WBGene00005967	srx-76	2	0	0.6	0.2	0	0	0	0	0.1	1	3	2	1	0.9	0	0	0.4
WBGene00005968	srx-77	0	0.2	1	0	0	0.1	0	0	0.2	0.4	0.2	0.4	0.1	0.1	0.3	0.1	0.1
WBGene00005969	srx-78	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.7	0	0	0
WBGene00005970	srx-79	0	0	0.2	0	0	0	0	0	0.2	0	0.1	0	0	0.2	0	0	0
WBGene00005971	srx-80	0	0	0.5	0.5	0	0.2	0	0	0.1	0	0	0.2	0	0	0	0.1	0
WBGene00005972	srx-81	0	0	0.5	0.2	0	0	0	0	0.2	0	0.1	0.2	0	0	0	0	0
WBGene00005973	srx-82	0	0	0	0	0.1	0.1	0	0	0.1	0	0.4	0	0	0	0	0	0
WBGene00005974	srx-83	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0
WBGene00005975	srx-84	0.1	0	0.9	0.1	0.2	0	0	0	0	0	0	0.6	0	0	0	0	0
WBGene00005976	srx-85	0.1	0	2	0	0.8	0.1	0	0	1	0.1	0.8	0.3	0.7	1	0.2	0.9	0
WBGene00005977	srx-86	0	0	0.4	0.3	0.3	0	0	0	0.3	0	0.1	0.4	0	0	0.1	0.1	0
WBGene00005978	srx-87	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0
WBGene00005979	srx-88	0	0.5	0	0	0	0	0	0	0	0	0	0.2	0.3	0	0	0	0.7
WBGene00005980	srx-89	0	0	0.1	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0.1	0
WBGene00005981	srx-90	0	0.2	0.3	0	0.4	0	0	0	0.4	0.1	0	0.3	0	0.2	0	0.1	0
WBGene00005982	srx-91	0	0	0	0.4	0.7	0.2	0.9	0	2	0	0.6	0.2	0.6	0.7	0.2	1	0.1
WBGene00005983	srx-92	0	0	0	0	2	0	0	0	7	0	0.3	0.3	2	0	0.2	2	0.7
WBGene00005984	srx-93	0	0	0	0	0.1	0	0	0	0.1	0	0.4	0	0	0	0	0	0
WBGene00005985	srx-94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00005986	srx-95	0	0	0	0	3	0.1	0	0	8	0	0.3	0.1	0.1	0	0.2	6	0
WBGene00005987	srx-96	0	0	0.1	0	0.3	0	0	0	0.2	0	0	0.1	0	0.1	0	0.2	0
WBGene00005988	srx-97	0	0	0.3	0.1	0.2	0	0	0.1	0.3	0	0	0	0	0	0.1	0	0.2
WBGene00005989	srx-98	0	0.8	0.1	0	0.4	0	0	0.2	1	0	0.5	0.3	1	0.3	0.2	0.3	1
WBGene00005990	srx-99	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
WBGene00005991	srx-100	0	0	0	0	0.3	0	0	0	0.4	0	0	0	0	0	0	0.2	0
WBGene00005992	srx-101	0	0	0	0	0.4	0	0	0	1	0	0.1	0	0.1	0	0	0.2	0.2
WBGene00005993	srx-102	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00005994	srx-103	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0.1	0
WBGene00005995	srx-104	0	0	0	0	1	0	0	0	3	0	0.1	0	0	0	0	1	0
WBGene00005996	srx-105	0	0	0.3	0	0.4	0	0	0	0.9	0	0.1	0	0	0	0.1	0.6	0
WBGene00005997	srx-106	0	0	0.6	0	0.2	0	0	0	0.5	0	0.3	0	0	0	0	0.1	0
WBGene00005998	srx-107	0	0	1	0.3	0	0.1	0.2	0	0.1	0	0.1	0.1	0	0	0	0	0
WBGene00005999	srx-108	0	0	1	0.5	0.1	0	0.1	0	0.6	0	0.2	0	0	0	0	0.4	0
WBGene00006000	srx-109	0	0	0.5	0.2	0	0	0.1	0	0.1	0	0.1	0	0	0	0	0	0
WBGene00006001	srx-110	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
WBGene00006002	srx-111	0	0	3	0.1	0.4	0.2	0.2	0	0.8	0	0	0.2	0	0	0	0.3	0
WBGene00006003	srx-112	0	0	0.3	0	0.5	0	0	0	0.3	0	0.1	0	0	0	0	0.2	0
WBGene00006004	srx-113	0	0	2	0	2	0	0	0	3	0	0	0.1	0	0	0	0.5	0
WBGene00006005	srx-114	0	0	2	0.3	0.6	0.2	0.2	0	0.2	0	0.1	0.2	0	0.1	0.2	0.3	0
WBGene00006006	srx-115	0.6	0	1	0.7	1	0.1	0.3	0	1	0.5	0	1	0.1	0.4	0	0.2	0.2
WBGene00006007	srx-116	0	0	0.2	0.2	0.9	0	0.1	0	2	0	0.2	0.7	0	0.1	0	0.9	0
WBGene00006008	srx-117	0.3	0.1	1	0.1	1	0.2	0.3	0	1	0.1	0.2	1	0	0.4	0	0.5	0.2
WBGene00006009	srx-118	0	0	0.1	0	0	0.1	0.4	0.1	0.3	0.1	0	0.3	0.3	0.2	0.1	0.2	0
WBGene00006010	srx-119	0	0	0	0	0.1	0	0	0	0.2	0	0.2	0	0.1	0	0.3	0	0
WBGene00006011	srx-120	0	0.1	0.3	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0.1	0
WBGene00006012	srx-121	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00006013	srx-122	0	0	0.1	0	0	0	0	0	0	0	0.2	0	0	0.1	0	0	0
WBGene00006014	srx-123	0	0.2	1	0.4	0.5	0	0.1	0	2	0	0.5	0.3	0	0	0.1	1	0
WBGene00006015	srx-124	0.3	0	0.1	0.1	0.5	0	0.2	0	0.8	0.1	0.1	0.5	0	0.1	0	0.3	0.1
WBGene00006016	srx-125	0	0	1	1	4	0.3	1	0.7	2	0	0.1	0.5	0.1	0.1	0.7	1	0
WBGene00006017	srx-126	0	0	0.2	0	0.4	0	0	0	0.7	0	0.2	0	0	0	0	0.1	0
WBGene00006018	srx-127	0	0	0.2	0	0.6	0	0	0	0.3	0	0	0.2	0	0	0	0.2	0
WBGene00006019	srx-128	0	0	0.3	0	1	0	0	0	0.6	0	0	0.1	0	0	0	0.2	0
WBGene00006020	srx-129	0	0.1	0.7	0.5	0.6	0.1	0.3	0	1	0	0.3	0.2	0	0	0.2	0.7	0
WBGene00006021	srx-130	0	0	0.7	0	0.3	0	0	0	0.5	0	0.1	0	0	0	0	0.3	0
WBGene00006022	srx-131	0	0	0	0.2	0.5	0	0	0	0.6	0	0	0.1	0	0	0	0.5	0
WBGene00006023	srx-132	0.3	0	0	0	0.5	0	0	0	0.8	0	0	0.5	0	0.1	0	0.5	0
WBGene00006024	srx-133	0	0	0.2	0	0.7	0	0	0	1	0	0.1	0	0	0	0	0.3	0
WBGene00006025	srx-134	0	0	0.7	0	0.2	0.1	0	0	0.7	0	0	0.2	0	0	0.2	0.2	0
WBGene00006026	srx-135	0	0	2	0.4	0.4	0	0	0	0.9	0	0.4	0.4	0	0.2	0	0.7	0
WBGene00006027	srx-136	0.1	0	2	0	0.4	0	0	0	0.9	0	0.1	0.5	0	0	0	0.1	0
WBGene00006028	srx-137	0	0	0.2	0.5	0.6	0	0.1	0	0.3	0	0	0	0	0.1	0	0.4	0
WBGene00006029	srx-138	0	0	0	0	0.1	0.1	0	0	0.2	0	0.5	0	0	0	0	0.1	0
WBGene00006038	ssp-9	0	0	0	0	0	0.8	2	1	0	0	0	0	0	0	4	0	0
WBGene00006039	ssp-10	0	0	0.1	0	0	15	97	31	0	0	0.1	0	0	0.2	78	0	0
WBGene00006040	ssp-11	0	0.3	0	0	0	0	2	1	0	0	0	0	0	0	6	0	0
WBGene00006044	ssp-16	0	0	0.4	0	0.1	55	66	94	0	0	0.5	0.2	0.5	0	41	0.2	0
WBGene00006047	ssp-19	0	0	0	0	0	1	6	3	0	0	0.9	0	0.1	0	12	0	0
WBGene00006048	ssp-31	0	0	0	0	0	4	16	14	0	0	3	0.2	0.7	0.7	28	0	0.1
WBGene00006049	ssp-32	0	0	0	0	0	2	1	0.6	0	0	0.3	0	0	0	2	0	0
WBGene00006050	ssq-1	0.1	0.6	0.2	0	0	3	29	21	0.1	0.2	0.8	0.1	0	0.1	29	0	0
WBGene00006051	ssq-2	0.2	0.1	0	0	0	5	35	38	0.1	0.2	0	0.3	0.1	0.1	35	0.1	0.3
WBGene00006052	ssq-3	0	0	0	0	0	3	6	7	0	0	0	0	0	0	8	0	0
WBGene00006053	ssq-4	0	0.1	0.6	0	0.1	5	25	23	0.2	0	1	0.2	2	0.1	30	0	0.6
WBGene00006055	ssr-2	5	0	10	6	6	1	2	0.5	5	0.6	0.6	10	0.6	0.4	0.5	6	0.7
WBGene00006056	sss-1	0	0.4	0.1	0	0	6	20	14	0	0	0.1	0.1	0.3	0	68	0	0.1
WBGene00006057	sss-2	0	0	0.6	0	0	8	30	7	0	0	0.2	0.2	0.1	0.3	30	0	0
WBGene00006058	sst-20	0	0	0.6	0	0.3	8	13	0.8	0.8	0	0.1	0.3	0.5	0.1	4	0.6	0.1
WBGene00006059	stc-1	43	9	9	29	22	38	22	18	16	42	48	29	47	44	33	19	19
WBGene00006060	sth-1	0	0	0	0	1	7	64	4	0.1	0.6	0.7	0.4	0.3	0.7	14	0	0
WBGene00006061	stl-1	21	22	5	25	21	31	20	38	20	27	35	18	68	35	47	17	41
WBGene00006062	stn-1	52	1	28	16	22	12	6	3	9	34	8	42	10	18	5	10	6
WBGene00006063	sto-1	75	3	16	9	42	8	8	15	30	247	199	53	143	405	5	17	92
WBGene00006064	sto-2	14	0	18	5	10	2	1	0.2	6	0.9	0.5	16	0.2	0.7	0.8	4	0.6
WBGene00006065	sto-3	0.1	0	2	0.9	1	0.2	0.4	0.1	0.7	0	0.2	2	0.1	0	0.6	0.5	0
WBGene00006066	sto-4	55	10	62	36	56	15	6	12	40	17	7	55	17	13	8	28	25
WBGene00006067	sto-5	24	0.1	16	11	9	6	3	1	6	5	0.6	25	0.4	2	2	7	1
WBGene00006068	sto-6	15	0	13	9	10	2	1	0.4	7	2	0.1	13	0.2	0.4	0.9	6	1
WBGene00006069	str-1	0	0	0.5	0	0.1	0	0.1	0	0.4	0	0	0.1	0.1	0	0	0	0
WBGene00006070	str-2	0	0	0	0	0.1	0	0	0	0	0	0.4	0.1	0	0	0	0.1	0
WBGene00006071	str-3	0	0	0.7	0.1	0	0	0	0	0.7	0	0	0.2	0	0	0	0.2	0
WBGene00006072	str-4	0	0	0	0	0.5	0.1	0	0	0.3	0	0.1	0.3	0	0	0	0.1	0
WBGene00006073	str-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00006074	str-6	0.3	0	0	0	0	0	0	0	0.1	0.3	0	0.8	0	0.1	0	0	0
WBGene00006075	str-7	3	0.1	1	0.2	2	0.1	1	0	3	2	0.1	3	0.8	2	0.1	2	0.8
WBGene00006076	str-8	0	0	0	0	0.1	0	0	0	0.3	0	0.1	0	0	0	0	0	0
WBGene00006077	str-9	0	0	0.2	0	0.1	0.1	0	0	0.5	0	0.2	0.4	0	0	0	0.2	0
WBGene00006078	str-10	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0	0
WBGene00006079	str-11	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00006080	str-12	1	0	0.3	0	1	0	0.1	0	1	0	0.1	2	0	0.1	0.1	0.4	0
WBGene00006081	str-13	0	0	0	0	0.4	0	0	0	0.3	0	0	0.3	0	0	0	0	0
WBGene00006082	str-14	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0	0
WBGene00006083	str-15	0	0	0	0	0.4	0	0	0	0.3	0	0	0.2	0.1	0	0	0.2	0
WBGene00006084	str-16	0	0.2	0	0	0.8	0	0.2	0.1	0.5	0	0.5	0.4	1	0	0.3	0.6	1
WBGene00006085	str-18	4	0	0.1	0.1	3	0	0.2	0	8	0.9	0.1	2	0	0.8	0.1	3	0.1
WBGene00006086	str-19	0	0	0.3	0	1	0.1	0	0.1	3	0	0.1	0.3	0	0	0	2	0
WBGene00006087	str-20	0	0	0	0	1	0	0	0	5	0	0	0.1	0	0	0	3	0
WBGene00006088	str-21	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
WBGene00006089	str-22	0	0	0	0	0.1	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5
WBGene00006090	str-23	0	0	0	0	0.9	0	0	0	0.8	0	0.1	0	0	0.1	0	0.6	0
WBGene00006091	str-24	0	0	0	0	0	0	0.1	0	0.2	0	0.1	0	0	0	0	0	0
WBGene00006092	str-25	0	0	0.2	0	0.7	0	0	0	0.3	0	0	0.1	0	0	0	0.3	0
WBGene00006093	str-27	0	0	0.8	0	2	0.1	0.1	0	3	0	0.1	0.2	0	0	0	1	0
WBGene00006094	str-28	0	0	0.1	0	0.6	0	0	0	1	0	0.1	0	0	0	0	0.6	0
WBGene00006095	str-29	0	0	0.1	0.1	0.5	0	0	0	0.8	0	0	0.2	0	0	0	0.4	0
WBGene00006096	str-30	0	0	0.2	0	0.3	0	0	0	0.2	0	0.1	0.6	0	0	0	0	0.2
WBGene00006097	str-31	9	0	0.1	0.9	2	2	0.3	0	2	12	4	6	1	8	0.1	1	0.7
WBGene00006098	str-32	0	0	0.1	0.1	0	0	0	0	0.1	0.1	0	0.1	0.1	0.3	0	0	0
WBGene00006099	str-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00006100	str-34	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00006101	str-35	0	0	0.1	0	1	0	0.1	0	0.2	0	0.1	0	0	0	0	0.1	0
WBGene00006102	str-37	0.1	0	0.4	0.1	0.1	0	0.1	0	0.3	0.2	0	0.7	0.2	0.2	0	0.5	0.1
WBGene00006103	str-38	0	0	4	0.5	0.3	0	0	0	0.6	0	0.1	0.3	0	0	0	0.6	0
WBGene00006104	str-39	0	0	0	0	0	0	0	0	0.1	0	0.1	0.2	0	0.2	0	0	0
WBGene00006105	str-40	0	0.2	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
WBGene00006106	str-41	0	0.2	0	0	0	0	0.2	0	0	0	0	0	0	0	0.2	0	0
WBGene00006107	str-42	0.2	0	0.1	0.1	0	0	0	0	0	0	0.2	0.5	0	0	0	0	0
WBGene00006108	str-43	0	0	0	0	0.3	0	0	0	0.6	0	0.1	0	0	0	0	0.3	0
WBGene00006109	str-44	0	0	0.2	0	2	0.2	0.6	0.1	3	0	0.2	0.2	0.1	0.1	0.1	2	0
